Video,Model,mAP_50,mAP_75,mAP_95,mAP_50-95,Precision,Recall,F1_Score,TP,FP,FN,Inference_Speed_ms,FPS
Vid_9,rtdetr-l.pt,0.6638489417504125,0.37462398066247843,0.0006893707945910775,0.37381924277559164,0.5377202643171806,0.8641592920353982,0.6629327902240325,1953,1679,307,82.10674853160464,12.179266843273895
Vid_9,yolov8m.pt,0.6050508651259884,0.3569181346477641,0.0010389965225925948,0.34469870845044703,0.6296162201303404,0.7694690265486726,0.692552767821585,1739,1023,521,40.082341638104666,24.948642198322574
Vid_9,yolov8_person.pt,0.022798001237587073,0.003377202934725058,0.0,0.0083927786012447,0.8082191780821918,0.026106194690265486,0.050578654093441915,59,14,2201,16.981618157748517,58.8872032518121
Vid_9,yolo12m.pt,0.3760458680253158,0.24340071359212717,0.0011388279581473863,0.22890590005925726,0.7814207650273224,0.4429203539823009,0.5653770121434623,1001,280,1259,38.52876095936216,25.9546368764555
Vid_9,yolo_person_c0m_yv11.pt,0.7934623807653977,0.5710884865445272,0.04643426832822576,0.5291482697254698,0.4585108541286265,1.0,0.6287383502573376,2260,2669,0,38.46786762106007,25.995722192111533
Vid_10,rtdetr-l.pt,0.5582108498065885,0.3007414449930295,0.00017887051914657133,0.3089383115783159,0.4155578300921187,0.8982300884955752,0.5682295311406578,812,1142,92,52.04090476036072,19.215653621028025
Vid_10,yolov8m.pt,0.575647584730518,0.3308526262465186,0.0010270970269381692,0.32981619490711894,0.5272206303724928,0.8141592920353983,0.64,736,660,168,35.8399823307991,27.90179946993583
Vid_10,yolov8_person.pt,0.004793510324483776,0.0018436578171091445,0.0,0.002352507374631268,0.46153846153846156,0.00663716814159292,0.013086150490730643,6,7,898,16.129057854413986,61.999901607788786
Vid_10,yolo12m.pt,0.32081918615357397,0.21645519377371664,0.0007816838012471041,0.19885148218094179,0.6109510086455331,0.4690265486725664,0.5306633291614519,424,270,480,37.45217248797417,26.700720774505093
Vid_10,yolo_person_c0m_yv11.pt,0.754611357084903,0.5534295518331152,0.0449794551265183,0.5090909459741247,0.43357314148681053,1.0,0.6048845767815323,904,1181,0,41.12996533513069,24.313173907439726
Vid_11,rtdetr-l.pt,0.5943039968785623,0.2562121338125347,8.91239298150881e-05,0.2977230472896707,0.6415997265424713,0.7479577605100618,0.6907083716651333,3754,2097,1265,49.44051566876863,20.22632625233106
Vid_11,yolov8m.pt,0.4624510188599782,0.2522414803225459,7.295797951777867e-05,0.25477533036828326,0.7655687794076944,0.5511057979677226,0.6408711770157552,2766,847,2253,40.23066476771706,24.856661101022773
Vid_11,yolov8_person.pt,0.07223738193181813,0.008148210980688467,0.0,0.02594337923814416,0.7225913621262459,0.08667065152420801,0.15477673011919588,435,167,4584,17.483725359565334,57.196048292585466
Vid_11,yolo12m.pt,0.19923787768102147,0.11478600501909676,0.0002320991191597173,0.11260356967545052,0.8560663149962321,0.22633990834827655,0.35802080050425467,1136,191,3883,33.78783872253016,29.59644765124285
Vid_11,yolo_person_c0m_yv11.pt,0.8567428299797847,0.5653606203575878,0.009790945512183326,0.530164709375448,0.5033617661816358,0.9994022713687986,0.6695141484249866,5016,4949,3,63.64440761114422,15.712299596059069
Vid_12,rtdetr-l.pt,0.579794604051721,0.27250628592342596,0.00034884804119618857,0.3013887929495812,0.6072342603651254,0.7370055912197142,0.6658559401309636,3559,2302,1270,65.36459011636722,15.298803193284327
Vid_12,yolov8m.pt,0.38654503988767597,0.19416964315315494,0.00010953215215281503,0.20857004009745633,0.7554169402495076,0.4764961689790847,0.5843809523809523,2301,745,2528,43.43031166465419,23.025393133751123
Vid_12,yolov8_person.pt,0.013985549732768453,0.0027362900551582774,3.394790354721644e-06,0.005523451846615323,0.7692307692307693,0.016566576931041622,0.03243462396107845,80,24,4749,19.119504151070952,52.30261162102294
Vid_12,yolo12m.pt,0.15190991807599513,0.09093209277581579,0.00012805018054842056,0.08983080202638033,0.8289855072463768,0.1776765375854214,0.2926330150068212,858,177,3971,43.42219632142668,23.02969643906635
Vid_12,yolo_person_c0m_yv11.pt,0.8208729013678537,0.5531139847990005,0.02931012939282617,0.5251618855024236,0.4428139044299734,0.999792917788362,0.6137808288838037,4828,6075,1,50.89722924931034,19.647434934064705
Vid_13,rtdetr-l.pt,0.4446093756416637,0.17146422514148715,0.00033097471220899186,0.21406436372153767,0.6685019499885295,0.5447747242475229,0.600329625051504,2914,1445,2435,61.239306131998696,16.32938162043415
Vid_13,yolov8m.pt,0.19450711505226653,0.1076751293974338,0.00040253119989347837,0.11107113989841588,0.8255977496483825,0.21948027668723125,0.34677300251070736,1174,248,4175,38.602424803234285,25.90510842511156
Vid_13,yolov8_person.pt,0.030621315509387015,0.006410200737779952,0.0,0.012045548916998407,0.7804878048780488,0.0358945597307908,0.06863270777479892,192,54,5157,18.571574347359793,53.84573118552892
Vid_13,yolo12m.pt,0.0804222330333499,0.05239468286846897,0.0003015780072683323,0.05003940281799798,0.8963531669865643,0.08730603851187138,0.15911413969335605,467,54,4882,40.51090876261393,24.684709144882582
Vid_13,yolo_person_c0m_yv11.pt,0.8400056254507755,0.5295038791305852,0.020435722170606206,0.517120296380807,0.46784495581415697,0.9996260983361376,0.6373822863273334,5347,6082,2,53.83149328685942,18.576486345477356
