epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.647,1.5223,0.96385,1.07678,0.66766,0.81397,0.74996,0.38812,1.59287,1.12401,1.1164,0.000654545,0.000654545,0.000654545
2,433.934,1.50783,0.89193,1.04592,0.66321,0.81593,0.75226,0.40845,1.49256,1.00357,1.07331,0.00130813,0.00130813,0.00130813
3,615.274,1.49045,0.89735,1.04242,0.67099,0.83354,0.77199,0.4462,1.366,1.07146,1.03859,0.00194852,0.00194852,0.00194852
4,816.3,1.53648,0.93085,1.05739,0.6536,0.80685,0.74271,0.38415,1.54077,1.05548,1.0825,0.0019406,0.0019406,0.0019406
5,995.608,1.49664,0.90272,1.04818,0.66868,0.81775,0.76176,0.4309,1.41501,0.90852,1.05,0.0019208,0.0019208,0.0019208
6,1231.44,1.48667,0.88672,1.03385,0.66364,0.83634,0.76459,0.43809,1.39755,0.91131,1.03689,0.001901,0.001901,0.001901
7,1383.14,1.45057,0.87015,1.03068,0.68956,0.83941,0.78874,0.463,1.36594,0.85087,1.02836,0.0018812,0.0018812,0.0018812
8,1600.98,1.44829,0.86527,1.0228,0.64428,0.80992,0.74346,0.40851,1.48503,1.01094,1.06008,0.0018614,0.0018614,0.0018614
9,1821.95,1.45368,0.86517,1.03327,0.67212,0.82972,0.76879,0.43598,1.43047,0.93591,1.05207,0.0018416,0.0018416,0.0018416
10,2006.91,1.46805,0.86811,1.02914,0.67812,0.79217,0.76193,0.43369,1.41534,0.87442,1.04545,0.0018218,0.0018218,0.0018218
11,2210.44,1.42407,0.85559,1.01669,0.68037,0.83606,0.78391,0.46062,1.35704,0.84551,1.02473,0.001802,0.001802,0.001802
12,2378.85,1.41018,0.84542,1.01783,0.67928,0.83507,0.77926,0.45969,1.34786,0.87605,1.02394,0.0017822,0.0017822,0.0017822
13,2585.92,1.4216,0.84935,1.01659,0.68691,0.83801,0.78834,0.46081,1.36812,0.87045,1.03006,0.0017624,0.0017624,0.0017624
14,2777.4,1.42942,0.84296,1.01959,0.68427,0.84626,0.78871,0.46939,1.36874,0.8344,1.02135,0.0017426,0.0017426,0.0017426
15,2918.78,1.41034,0.8319,1.01228,0.68768,0.84137,0.78845,0.47111,1.34588,0.83037,1.01686,0.0017228,0.0017228,0.0017228
16,3111.02,1.4053,0.83109,1.00647,0.69383,0.83996,0.78692,0.47492,1.33502,0.82852,1.01961,0.001703,0.001703,0.001703
17,3348.07,1.40337,0.83376,1.00711,0.67861,0.81188,0.77889,0.46096,1.37352,0.85598,1.03377,0.0016832,0.0016832,0.0016832
18,3529.74,1.38757,0.82935,1.00287,0.68709,0.84375,0.78396,0.47151,1.33613,0.82941,1.01957,0.0016634,0.0016634,0.0016634
19,3712.07,1.38415,0.82704,1.00677,0.69143,0.83118,0.78491,0.46642,1.35259,0.84045,1.02243,0.0016436,0.0016436,0.0016436
20,3896.85,1.38472,0.82363,1.00228,0.68216,0.84501,0.79423,0.47305,1.34386,0.8367,1.02215,0.0016238,0.0016238,0.0016238
21,4062.49,1.37755,0.81319,0.99629,0.69211,0.83885,0.78845,0.47348,1.35525,0.81974,1.01972,0.001604,0.001604,0.001604
